City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Vila Franca Do Campo,PT,2021-12-09 21:43:19,37.7167,-25.4333,59.2,69,38,0.81
273,Tezu,IN,2021-12-09 21:43:20,27.9167,96.1667,62.04,51,97,3.74
274,Kuytun,RU,2021-12-09 21:43:20,54.3419,101.5036,7.41,93,100,6.8
275,Guilin,CN,2021-12-09 21:43:21,25.2819,110.2864,57.31,69,22,3.47
276,Skibbereen,IE,2021-12-09 21:43:21,51.55,-9.2667,42.6,70,22,23.53
277,Fairbanks,US,2021-12-09 21:38:38,64.8378,-147.7164,3.97,82,75,0.0
278,Ahipara,NZ,2021-12-09 21:43:22,-35.1667,173.1667,72.68,57,51,3.13
279,Trinidad,BO,2021-12-09 21:43:22,-14.8333,-64.9,78.78,94,40,4.61
280,Linao,PH,2021-12-09 21:43:23,7.1678,124.9675,74.61,91,100,0.87
281,Boa Vista,BR,2021-12-09 21:43:23,2.8197,-60.6733,85.98,66,40,9.22
282,Ambilobe,MG,2021-12-09 21:43:23,-13.2,49.05,74.23,79,91,3.6
283,San Quintin,MX,2021-12-09 21:43:24,30.4833,-115.95,61.86,81,100,10.65
284,Urusha,RU,2021-12-09 21:43:24,54.05,122.9,-2.47,98,40,2.44
285,Deputatskiy,RU,2021-12-09 21:43:25,69.3,139.9,-34.91,99,94,3.85
286,Lasa,IT,2021-12-09 21:43:25,46.6166,10.7002,26.51,89,79,4.0
287,Turgenevo,RU,2021-12-09 21:43:26,54.8455,46.3297,27.88,94,100,10.27
288,Kaka,TM,2021-12-09 21:43:26,37.3482,59.6143,54.37,28,0,6.31
289,Saldanha,ZA,2021-12-09 21:43:27,-33.0117,17.9442,62.65,95,22,10.47
290,Aquiraz,BR,2021-12-09 21:43:28,-3.9014,-38.3911,86.22,64,79,12.5
291,Bloomsburg,US,2021-12-09 21:43:28,41.0037,-76.4549,37.17,66,100,2.06
