City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Nanortalik,GL,60.1432,-45.2371,31.95,79,100,0.92,overcast clouds
258,Tres Arroyos,AR,-38.3739,-60.2798,63.61,49,88,7.72,overcast clouds
259,Lubana,LV,56.9,26.7167,33.96,99,100,5.88,overcast clouds
260,Progreso,MX,21.2833,-89.6667,84.31,75,18,18.84,few clouds
261,Jose De Freitas,BR,-4.7564,-42.5756,85.15,63,69,3.6,broken clouds
262,Gobabis,NA,-22.45,18.9667,74.28,18,66,8.57,broken clouds
263,Vigrestad,NO,58.5667,5.7,47.88,94,100,15.05,overcast clouds
264,Chuy,UY,-33.6971,-53.4616,67.82,84,38,8.7,scattered clouds
265,Coihaique,CL,-45.5752,-72.0662,60.75,48,40,5.75,scattered clouds
266,Scottsbluff,US,41.8666,-103.6672,37.63,70,1,0.0,clear sky
267,Talnakh,RU,69.4865,88.3972,-11.79,98,100,14.9,light snow
268,Jaguey Grande,CU,22.5269,-81.1286,77.65,75,64,10.33,light rain
269,Maues,BR,-3.3836,-57.7186,76.1,96,95,1.05,moderate rain
270,Batemans Bay,AU,-35.7167,150.1833,90.19,53,7,5.7,clear sky
271,Bhadasar,IN,28.2833,74.3167,54.07,38,0,7.14,clear sky
272,Kama,RU,56.3051,54.0936,21.33,97,100,4.47,light snow
273,Lorengau,PG,-2.0226,147.2712,83.19,82,98,14.43,very heavy rain
274,Mildura,AU,-34.2,142.15,69.76,49,90,13.8,light intensity shower rain
275,Smirnykh,RU,49.75,142.8333,10.56,87,86,3.0,overcast clouds
276,Tazovskiy,RU,67.4667,78.7,2.77,96,98,9.33,overcast clouds
277,Bubaque,GW,11.2833,-15.8333,81.0,63,98,12.19,overcast clouds
278,Soyo,AO,-6.1349,12.3689,78.84,90,100,5.48,light rain
279,Paita,PE,-5.0892,-81.1144,72.16,86,48,14.61,scattered clouds
280,Novoselitskoye,RU,44.7508,43.4369,37.27,90,97,5.03,overcast clouds
281,Powell River,CA,49.8496,-124.5361,41.0,93,75,11.5,mist
282,Marawi,PH,7.9986,124.2928,70.65,92,99,4.99,overcast clouds
283,Pemba,MZ,-12.974,40.5178,79.5,83,20,11.5,few clouds
284,Paceco,IT,37.9787,12.5566,52.57,93,20,4.61,few clouds
285,Kharabali,RU,47.4196,47.2568,32.11,89,97,16.04,overcast clouds
286,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,75.29,90,100,5.64,overcast clouds
287,Anloga,GH,5.7947,0.8973,82.62,82,82,10.6,broken clouds
288,Malinovskiy,RU,61.1953,62.8397,19.44,94,100,8.75,overcast clouds
289,Smithers,CA,54.7804,-127.1743,12.52,67,75,4.61,broken clouds
290,Beyneu,KZ,45.3167,55.2,31.5,88,29,14.58,scattered clouds
291,Diamantino,BR,-14.4086,-56.4461,74.21,89,55,4.38,broken clouds
292,Lodja,CD,-3.4833,23.4333,68.23,92,91,0.56,overcast clouds
293,Tual,ID,-5.6667,132.75,84.24,70,71,6.85,broken clouds
294,Ruteng,ID,-8.6136,120.4721,70.83,77,46,0.74,scattered clouds
295,Saint George,US,37.1041,-113.5841,55.99,71,90,4.0,overcast clouds
296,Sao Jose De Piranhas,BR,-7.1206,-38.5019,78.67,66,100,4.61,overcast clouds
297,Eyl,SO,7.9803,49.8164,73.22,70,56,17.76,broken clouds
298,Salta,AR,-24.7859,-65.4117,73.99,64,75,11.5,broken clouds
299,Valdivia,CL,-39.8142,-73.2459,64.49,76,1,2.13,clear sky
300,Tarko-Sale,RU,64.9225,77.785,3.07,95,100,16.49,light snow
301,Port Blair,IN,11.6667,92.75,78.06,74,59,11.05,broken clouds
302,Kavaratti,IN,10.5669,72.642,81.77,71,99,3.11,overcast clouds
303,Sitka,US,57.0531,-135.33,31.89,59,90,4.61,overcast clouds
304,Balvi,LV,57.1313,27.2658,33.17,99,100,6.46,overcast clouds
305,Muroto,JP,33.2833,134.15,42.84,66,2,4.25,clear sky
306,Bilma,NE,18.6853,12.9164,62.49,32,91,14.12,overcast clouds
307,Monchegorsk,RU,67.9397,32.8739,13.23,97,96,4.38,overcast clouds
308,Sur,OM,22.5667,59.5289,69.66,49,23,3.85,few clouds
